M0001,Sambal Trasi Lombok Ijo,1500,K01
M0002,Sambal Bawang,1500,K01
M0003,Bawang Lombok Ijo,1500,K01
M0004,Sambal Tempe,2000,K01
M0005,Sambal Tahu,2000,K01
M0006,Sambal Terasi Segar,2000,K01
M0007,Sambal Terasi Matang,2000,K01
M0008,Terasi Tomat Segar,2000,K01
M0009,Sambal bawang goreng,2000,K01
M0010,Sambal bawang tomat,2000,K01
M0011,Sambal Kecap,2000,K01
M0012,Sambal Rampelo Ati,3500,K01
M0013,Sambal Teri,3500,K01
M0014,Sambal Wader,3500,K01
M0015,Sambal Belut,4000,K01
M0016,Sambal Terong,4000,K01
M0017,Sambal Jamur,4000,K01
M0018,Sambal Cumi,5000,K01
M0019,Sambal Paru,5500,K01
M0020,Sambal Udang Pedas,6000,K01
M0021,Wadar Goreng,7000,K02
M0022,Belut Goreng,7500,K02
M0023,Ayam Goreng Paha,10000,K02
M0024,Ayam Goreng Dada,11000,K02
M0025,Sapi Goreng,10000,K02
M0026,Babat Goreng,9000,K02
M0027,Iso Goreng,9000,K02
M0028,Telor Dadar Biasa,4000,K02
M0029,Telor Ceplok,4000,K02
M0030,Tahu Goreng,3500,K02
M0031,Tempe Goreng,3500,K02
M0032,Rampelo Ati Goreng,5000,K02
M0033,Bandeng Goreng,6000,K02
M0034,Bawal,7500,K02
M0035,Lele Goreng,7500,K02
M0036,Nila,7500,K02
M0037,Udang goreng tepung ,9000,K02
M0038,Cumi goreng tepung,9000,K02
M0039,Jamur Goreng,4000,K02
M0040,Gareh Keranjang,6000,K02
M0041,Lalapan,2000,K03
M0042,Terong Goreng,3000,K03
M0043,Pecel,3500,K03
M0044,Plencing Jawa,3500,K03
M0045,Sayur Asam,3500,K03
M0046,Gudangan,3500,K03
M0047,Pete Goreng,4000,K03
M0048,Karedok,4000,K03
M0049,Ca Kangkung,4500,K03
M0050,Air Es,1000,K04
M0051,Teh (Es/Panas),2500,K04
M0052,Jeruk (Es/Panas),3000,K04
M0053,Coffee Mix (Es/Panas),3000,K04
M0054,Cokelat (Es/Panas),3000,K04
M0055,Juice Semangka,5000,K04
M0056,Juice Sawo,5000,K04
M0057,Juice Tomat,5000,K04
M0058,Juice Nanas,5000,K04
M0059,Juice Wortel,5000,K04
M0060,Juice Melon,5000,K04
M0061,Juice Jambu,6000,K04
M0062,Juice Tomat Susu,6000,K04
M0063,Juice Jeruk,6000,K04
M0064,Juice Apel,6000,K04
M0065,Juice Strawberry,6000,K04
M0066,Juice Mangga,7000,K04
M0067,Juice Alpokat,8000,K04
M0068,Juice Sirsak Bulan,8000,K04
M0069,Jeruk Nipis  (Es/Panas),6000,K04
M0070,Susu Cokelat (Es/Panas),6000,K04
M0071,Lemon Tea (Es/Panas),5000,K04
M0072,Nasi Putih (per Orang),2000,K05
M0073,Nasi Putih (per Bakul),12000,K05
